 g3  h1  e6  e7  g6  f8  h7 g11 i10  g9 
 g3  h1  e6  e7  g6  f9  h8 g10  i9  g7 
 g3  h1  e6  e7  g6  g7  f7  e9  c9  d8 
 g3  h1  e6  e7  g6  g7  f7  e9  c9  d8 
 g3  h1  f6  f7  e7  d9  c9  d8  e8  e9 
 g3  h1  h4  h3  g4  g5  e6  f5  e5  f4 
 h2  f5  g5  f7  e7  f6  c6  d4  e5  e6 
 h2  f7  e7  f5  g5  f6  e5  e6  c7  d6 
 h2  h3  i3  h4  i4  h6  f6  f7  e7  d9 
 h2  h3  i3  h4  i4  h6  h5  g6  f6  e8 
 h2  h3  i3  j2  i2  h4  i4  h5  i5  h7 
 h2  h3  i3  j2  i2  h4  i4  h6  g6  h5 
 h2  h3  i3  j2  i2  h4  i4  h6  h5  g6 
 h2  h3  i5  h4  f5  f4  d5  e5  d6  e6 
 h2  i3  e6  e7  g6  f5  e5  f6  h4  h3 
 h2  i3  g5  g4  h4  h3  k2  j4  i4  j3 
 h2  i3  k2  j4  e6  e7  g6  f5  i4  j3 
 h2  i3  k2  j4  e6  g4  f5  e7  g6  g7 
 h2  i3  k2  j4  g5  g4  e5  f3  d4  e2 
 h2  i3  k2  j4  i4  j3  h4  h3  f4  f6 
 h3  f6  e6  e7  g6  g5  i4  h5  i5  h6 
 h3  g5  f5  f6  d7  d6  e6  d8  e7  e8 
 h3  g5  h5  h4  j3  j2  i3  i4  j4  h7 
 h3  g5  h5  h4  j3  j2  i3  i4  j4  i6 
 h3  g5  i4  h6  i6  i5  k4  j5  k5  j6 
 h3  h4  j3  i5  h5  i4  g5  g4  f5  f4 
 h3  h4  j3  i5  j6  h7  k4  i8  g7  f5 
 h3  h4  j3  i5  j6  j4  h5  f6  e6  e7 
 h3  h4  j3  i5  k4  j2  f5  f6  g5  g6 
 h3  h4  j3  j2  i3  i5  h5  i4  f5  f6 
 h3  h4  j3  j2  i3  i5  j6  h7  k4  i8 
 h3  h4  j3  j2  i3  i5  j6  h7  k4  i8 
 h3  h4  j3  j2  i3  i5  j6  i8  k4  h7 
 h3  h4  j3  j2  i3  i5  j6  j4  h5  i4 
 i2  h4  f5  f6  g6  g5  d7  e6  d6  e4 
 i2  h4  g4  g5  e6  e5  f5  e7  h7  f6 
 i2  h4  i4  i3  k2  j3  k3  j4  f6  f5 
 i2  h4  i4  i3  k2  j3  k3  j4  k4  j6 
 i2  h4  j3  i5  k4  j6  h5  i4  g5  g4 
 i2  i3  e6  c9  f7  f8  g8  g9  i9  f9 
 i2  i3  e6  e7  c8  c9  g6  f5  e5  f6 
 i2  i3  e6  e7  g6  f5  e5  f6  h4  f8 
 i2  i3  k2  j4  e6  e7  g6  f5  e5  f6 
 i2  i3  k2  j4  e6  e7  g6  f8  h7  f5 
 i2  i3  k2  j4  i4  j3  e6  e7  g6  g7 
 i2  i3  k2  j4  i4  j3  h4  h3  f4  f6 
 i2  i3  k2  j4  i4  j3  h4  h3  f4  f6 
 i2  i3  k2  j4  i5  g4  e5  f3  d4  e2 
 i3  e9  d8  d7  c8  e7  c7  d5  d6  e5 
 i3  f5  e7  d9  c9  g7  e5  e6  d6  d7 
 i3  f7  e7  d9  c9  d8  e8  f5  g5  f6 
 i3  f7  e7  d9  e8  e9  f8  h5  j4  e6 
 i3  f7  e7  f5  g6  g7  h6  h4  i4  j2 
 i3  f7  g7  i4  f5  g8  f8 e10 b10  e6 
 i3  g5  h5  g7  c9 b11  e7  d8  c8  d7 
 i3  h4  i4  h5  i5  h7  e7  d9  f8  f5 
 i3  h4  i4  h6  f6  f7  e7  d9  c9  d8 
 i3  h4  i4  h6  g6  h5  f5  g3  e4  f2 
 i3  h5  g5  h4  g4  h3  g3  h1  f2  f3 
 i3  j1  h2  f3  g6  h4  i4  h5  i5  h6 
 i3  j1  h2  f5  g6  g7  f7  h4  i4  h5 
 i3  j1  k1  j2  j3  g6  j4  i5  f6  f7 
 j3  j2  c4  f5  g5  f7  d8  d9  c9 b11 
 j3  j2  d6  d7  b8  c7  b7  c6  b6  c9 
 j3  j2  h3  h4  i3  i5  j6  j4  h5  i4 
 j3  j2  i3  i2  g3  e7  c8  g6  h6  g8 
 j3  j2  i3  i2  g3  g4  h3  h5  i5  h7 
 j3  j2  i3  i2  g3  g5  h3  h6  i6  h8 
 j3  j2  i3  i2  g3  h1  f2  f5  g5  f7 
 j3  j2  i3  i2  g3  h1  f2  g5  h3  h6 
 j3  j2  i3  i2  g3  h3  g4  g5  h4  h6 
 j3  j2  i3  i2  h3  h2  f3  g3  f4  g4 
 j3  j2  i3  i2  h3  h2  g3  g2  e3  f3 
 j3  j2  i3  i2  h3  h2  g3  g2  e3  f3 
 j3  j2  i3  i2  h3  h2  g3  g2  e3  f3 
 j3  j2  i3  i2  h3  h2  g3  g2  e3  f6 
 k3  j2  d5  d6  e6  e5  g4  i1  g2  f5 
 k3  j2  d7  d8  b9  f5  e5  f3  g5  g4 
 k3  j2  e6  e7  c8  d7  c7  d6  c6  c9 
 k3  j2  e6  e7  c8  d7  c7  d6  c6  c9 
 k3  j2  e6  e7  g6  f5  e5  f6  h4  h3 
 k3  j2  e6  e7  g6  g4  f5  g7  f7  e9 
 k3  j2  g6  e5  f5  g3  f4  f3  e4  e3 
 k3  j2  g6  f5  e5  e4  f4  e6  h4  h3 
 k3  j2  h3  g5  h5  h4  i3  i4  e6  e7 
 k3  j2  h3  h4  h6  f5  e5  e4  d5  d4 
 k3  j2  i3  i2  g3  f5  e5  e6  d6  h1 
 k3  j2  i3  i2  g3  g4  h3  h5  i5  i4 
 k3  j2  i3  i2  g3  g5  f5  f6  d7  e6 
 k3  j2  i3  i2  h3  h2  f3  f6  e6  g1 
 k4  d8  c8  c9 a10  f6  j6  i8  e6  j5 
 k4  e7  f7  g5  i3  i4  h5  h4  j3  j4 
 k4  e7  h7  g6  f6  f7  d7  d8  c8  c9 
 k4  f6  e6  e7  c8  d7  c7  d5  c5  c6 
 k4  f6  e6  e7  c8  d7  c7  d6  c6  c9 
 k4  f6  e6  e7  c8  d7  c7  d6  c6  d4 
 k4  f6  g6  g5  h5  h4  i3  i4  j3  j4 
 k4  f6  g6  g5  i3  i4  j3  j4  k3  j5 
 k4  f6  g6  g7  f7  g5  i3  h5  j4  h6 
 k4  f6  g6  i3  h4  h3  g4  h5  g5  f7 
 k4  g5  e6  e7  f7  f6  h5  g6  h6  g7 
 k4  g5  i4  h6  i6  h8  g8  h7  e6  e5 
 k4  i3  k2  k1  j2  j1  i2  i1  g2  h2 
 k4  j2  h3  h4  i3  i4  j3  g4  e5  f3 
 k9  d8  f6  h4  g5  g4  e5  e4  f4  g2 
 k9  e7  g6  g5  f6  f5  e6  e5  i4  i3 
 k9  f6  e6  e7  c8  c9  d8  d7  c7  d6 
 k9  f6  e6  e7  c8  d7  c7  c9  d8  d9 
 k9  f6  e6  e7  c8  d7  c7  d5  d6  c9 
 k9  f6  e6  e7  c8  d7  c7  d5  d6  c9 
 k9  f6  e6  e7  c8  d7  c7  d6  c6  c9 
 k9  f6  e6  e7  d7  d8  c8  c9 a10  b9 
 k9  f6  g6  g5  i4  i3  h4  h5  i5  h6 
 k9  f6  g6  g5  i4  i3  h4  h5  i5  h7 
 k9  f6  h5  g7  e6  e7  i6  h4  g5  g4 
 k9  h4  f5  f6  e6  e7  d7  d8  c8  c9 
 k9  h4  i4  i3  k2  j3  k3  j4  k4  j6 
 k9 j11  f6  f7  e7  d9  c9  d8  e8  e9 
c10  c9  g6  g5  e6  f7  g7  f6  h5  h4 
c10  c9  g6  g5  e6  f7  g7  f8  e8  e7 
c10  c9  g6  g5  i4  i3  e6  f7  g7  f6 
c10  c9 a10  b8  c7  e8  g7  g6  f7  f6 
c10  c9 a10  b8  c8  b9  d8  d9  f8  e8 
c10  c9 a10  b8  c8  b9  d8  d9  f8  f6 
c10  c9 a10  b8  e6  e5  f5  g3  e8  e7 
c10  c9 a10  b8  g6  g5  e6  f7  e8  e5 
c10  d8  c8  c9 a10  b9  a9  b8  c6  c5 
c10  d8  c8  c9 a10  b9  a9  b8  f6  f7 
c10  d8  f7  f6  e6  e7  h5  g6  h6  g8 
c10  f5  g5  h3  g4  f7  i3  h6  d7  d6 
d10  c9  e7  e8  d8  d9 a10  b8  c8  b9 
d10  c9  g6  g5  e6  f3  d4  e5  f5  f7 
d10  c9  g6  g5  i4  i3  e6  f7  g7  f8 
d10  c9  g6  g5  i4  i3  h4  h5  i5  h6 
d10  c9 a10  b8  c8  b9  d8  d9  f8  f6 
d10  c9 a10  b8  c8  b9  d8  d9  f8  f6 
d10  c9 a10  b8  c8  b9  d8  f7  e5  d9 
d10  d9  c9  d8  c8  d6  d7  e6  f6  e7 
d10  d9  c9  d8  c8  d6  e6  d7  f7  f8 
d10  d9  c9  d8  c8  d6  h4  g7  f8  f5 
d10  d9  c9  d8  c8  d7  c7  d5  g5  d6 
d10  f5  g5  f7  d7  e6  g7  g6  i5  i3 
e10  e7  d7  d8  b9 b10  c9  c8  b8  c7 
e10  e9  d8 c10 b10  c9  b9  c8  b8  c7 
e10  e9  e7  f5  g5  g8  i7  h9  i9  i8 
e10  e9  f6  e7  d7  d8  c8  c9 a10  b9 
e10  e9  f6  f5  g5  h3  g4  g3  f4  f3 
e10  e9  f6  g8  h8  h7  j6  i5  f8  f9 
e10  e9  g5  d8  c8  c9 a10  g8  f8  f9 
e10  e9  h4  h3  i3  g8  d8  d7  h7  e7 
e10  f6  e6  e7  c8  d7  c7  d5  c5  c6 
e10  f6  g6  g5  e6  e7  d7  d8  b9  c8 
e10  g5  e6  e7  h7  g6  c8  c9  d8  d7 
e10  h4  f5  g3  e4  f2  d3  d4  g2  f3 
f10  e7  d7  d8  b9  c8  b8  c7  b7  c5 
f10  e9  g8  g7  i6  j2  f5  f4  h3  h5 
f10  f9  c9  c8  e7  d8  e8 d10  b9  d9 
f10  f9  e7  f5  g5  f6  e5  e6  c7  d6 
f10  f9  e7  f5  g5  f6  g6  f7  i7  h3 
f10  f9  e7  f5  g5  f6  g6  f7  i7  h7 
f10  f9  e7  f5  i3  g6  i5  h7  e5  e6 
f10  f9  f6  e8  d8  e7  d7  e6  d6  e4 
f10  f9  f6  g4  e5  h8  g8  e4  f4  g2 
f10  f9  g5  h3  i3  h4  i4  h5  e9  g6 
f10  f9  g6  g5  i4  i3  h4  h5  i5  h6 
f10  g8  f6  e7  d7  d8  b9 b10  c9  c8 
g10  d8  c8  c9 a10  f6  e6  e7  a8  b7 
g10  f6  e6  e7  d7  d8  c8  c9 a10  b9 
g10  f9  f6  e9  d9  e7  f7  e8  d7  e5 
g10  f9  f6  f5  g5  h3  i3  h4  g4  g3 
g10  f9  h8  e7  c8  d6  b7  c5  d5  c6 
g10  f9  h8  e7  c8  d6  c6  c7  e6  f4 
g10  f9  h8  h7  j6  i7  j7  i8  j8 i10 
g10  f9  h8  h9  g5  g4  h4  i2  h3  e7 
g10  f9  h8  j2  f5  f4  g4  g3  h3  i1 
g10  g9  f6  f5  g5  h3  i3  h4  g4  g3 
g10  h4  f5  g3  e4  f2  d3  c2  g2  e1 
g10  i3  h3  h4  f5  f6  e6  e7  c8  d7 
g10 e10  f6  f5  g5  h3  g4  g3  f4  f3 
h10  e7  d7  d8  b9  c8  b8  c7  b7  c5 
h10  e7  d7  e5  d5  d6  b7  g5  i4  h6 
h10  f6  e6  e7  d7  d8  b9  c8  b8  c7 
h10  f6  e6  e7  d7  d8  b9 b10  c9  c8 
h10  f6  e6  e7  d7  d8  c8  c9 a10  b9 
h10  f6  g6  g5  i4  h5  i5  h7  e6  d8 
h10  f6  g6  i3  e6  e7  g5  g4  f5  f4 
h10  f7  e7  f5  e5  e6  c7  c9  d8  d6 
h10  f7  h6  g8  i7  i3  g5  g4  e5  f5 
h10  g9  f5  e7  g6  f8  d7  d6  c6  c7 
h10  g9  f6  f7  e7  d9  c9  d8  c8  d7 
h10  h4  f5  f6  g6  g5  e6  f4  d8  d7 
h10  j2  e6  e7  g6  g4  f5  g7  f7  e9 
h10 f10  f6  f7  e7  d9  c9  d8  c8  d7 
i10  f6  e6  e7  c8  d7  c7  d5  d6  c9 
i10  f6  e6  e7  c8  d7  c7  d6  c6  d4 
i10  f6  e6  e7  d7  d8  c8  c9 a10  b9 
i10  f6  e6  e7  d7  d8  c8  c9 a10  b9 
i10  f6  e6  e7  d7  d8  c8  c9 a10  b9 
i10  f6  e6  e7  g6  g5  i4  i3  h4  h3 
i10  f6  e6  f5  e5  f4  e4  e7  d7  c9 
i10  f6  g6  g5  i4  h5  i5  h6  i6  i3 
i10  f6  h5  h4  g5  h6  g6  g4  f5  f4 
i10  h4  f5  f6  e6  e7  d7  g3  e4  f2 
i10  h4  f5  f6  g6  f8  d8  c9  h7  g9 
i10  j2  h4  h3  f4  f5  g4  g6  i5  h7 
i10 g10  f6  e8  g7  f9  d8  e7  d7  e5 
i10 g10  h4  h3  i3  j1  i2  i1  h2  h1 
